graph_id,neato_xing,sfdp_xing,smartgd_xing,diff_gd_xing
grafo3785.54,31,31,27.0,27
grafo2868.17,4,3,5.0,1
grafo1184.25,1,1,0.0,1
grafo6744.46,8,7,9.0,7
grafo7054.55,35,32,29.0,27
grafo6180.41,7,5,7.0,4
grafo4254.77,54,48,53.0,43
grafo5887.44,6,10,7.0,4
grafo3668.59,20,28,20.0,15
grafo11584.34,4,3,4.0,4
grafo11597.37,7,7,10.0,5
grafo2349.16,1,1,1.0,1
grafo2670.20,3,9,3.0,3
grafo3890.96,70,60,65.0,54
grafo10746.36,6,3,6.0,5
grafo3771.40,19,21,21.0,15
grafo9724.64,69,49,54.0,53
grafo3787.61,12,11,15.0,10
grafo4432.78,52,53,50.0,39
grafo9995.94,126,129,149.0,100
grafo9405.62,36,29,38.0,23
grafo1154.22,3,7,3.0,3
grafo10431.95,116,98,108.0,87
grafo1416.48,20,20,21.0,16
grafo9479.68,118,97,104.0,108
grafo2960.38,9,5,5.0,8
grafo3422.59,89,92,84.0,72
grafo9559.64,24,18,15.0,19
grafo8249.77,103,85,94.0,79
grafo3032.30,1,2,1.0,1
grafo6590.38,4,5,4.0,4
grafo10710.93,51,44,50.0,36
grafo9891.32,4,4,6.0,3
grafo9848.76,86,70,78.0,68
grafo1161.17,0,0,0.0,0
grafo8479.74,29,32,29.0,24
grafo8937.90,55,45,53.0,41
grafo9497.85,71,65,61.0,61
grafo9544.62,70,72,70.0,53
grafo5089.56,52,42,57.0,36
grafo10642.90,69,71,81.0,53
grafo5430.41,5,7,3.0,4
grafo8046.68,33,33,34.0,23
grafo9019.82,35,34,33.0,23
grafo8536.61,57,52,62.0,45
grafo6632.46,15,21,18.0,14
grafo9418.74,27,22,23.0,23
grafo11651.36,10,14,12.0,9
grafo1707.18,1,1,1.0,1
grafo10933.94,109,109,101.0,88
grafo7640.45,29,26,27.0,16
grafo8958.89,86,77,90.0,61
grafo6605.46,8,13,12.0,8
grafo10570.95,39,39,32.0,33
grafo5603.38,13,12,12.0,9
grafo9010.78,32,27,33.0,21
grafo6586.48,27,30,30.0,25
grafo4538.62,39,57,49.0,34
grafo4451.51,32,34,30.0,22
grafo2171.19,1,3,2.0,1
grafo7664.56,21,29,33.0,15
grafo3805.37,14,6,10.0,11
grafo9792.80,86,83,95.0,78
grafo9393.66,40,47,40.0,34
grafo1634.17,0,0,0.0,0
grafo6844.41,13,13,15.0,9
grafo10178.99,56,48,73.0,42
grafo2947.37,3,3,3.0,3
grafo9202.71,106,91,87.0,78
grafo10904.94,76,60,64.0,64
grafo6616.45,36,22,33.0,26
grafo10599.97,46,50,51.0,39
grafo3091.11,0,1,0.0,0
grafo10629.100,61,40,67.0,52
grafo2792.11,0,1,0.0,0
grafo2504.36,15,12,13.0,13
grafo1146.18,5,6,8.0,5
grafo7036.55,34,23,25.0,26
grafo8082.83,64,51,70.0,52
grafo7920.77,15,27,22.0,12
grafo9651.68,31,24,32.0,28
grafo7992.70,55,61,43.0,47
grafo6089.47,5,2,2.0,4
grafo9412.82,104,89,97.0,86
grafo4917.76,62,47,53.0,49
grafo4547.64,53,49,50.0,37
grafo7258.46,38,47,34.0,32
grafo8741.87,47,48,50.0,36
grafo6239.56,29,34,32.0,24
grafo4904.65,11,19,8.0,7
grafo3739.56,2,5,5.0,2
grafo8302.81,46,32,38.0,38
grafo4946.85,87,66,75.0,73
grafo487.14,0,0,1.0,0
grafo160.30,0,0,0.0,0
grafo1535.48,1,1,1.0,1
grafo2242.25,5,6,4.0,2
grafo1064.21,2,2,3.0,2
grafo5624.37,5,3,3.0,5
grafo10306.95,86,74,77.0,71
grafo4554.77,63,40,52.0,40
grafo8422.71,71,59,64.0,63
grafo4556.52,15,12,13.0,11
grafo3393.42,10,9,8.0,7
grafo7190.52,17,18,18.0,13
grafo9305.62,16,12,20.0,10
grafo1715.22,14,8,10.0,8
grafo2484.17,1,2,0.0,0
grafo10567.38,3,3,4.0,3
grafo5174.44,21,20,25.0,15
grafo7968.71,35,25,31.0,28
grafo8688.89,98,89,91.0,83
grafo5298.43,14,11,13.0,9
grafo5431.68,52,51,62.0,46
grafo7538.63,17,24,17.0,15
grafo10279.32,3,8,4.0,3
grafo9259.64,63,54,63.0,43
grafo9798.76,25,44,25.0,20
grafo5681.79,146,144,126.0,106
grafo666.12,1,1,1.0,1
grafo10804.35,8,8,9.0,8
grafo10336.37,10,6,8.0,7
grafo9755.77,76,69,63.0,62
grafo7732.42,10,14,12.0,10
grafo895.12,0,0,0.0,0
grafo408.11,0,0,0.0,0
grafo8326.76,143,131,118.0,118
grafo7413.44,32,28,28.0,21
grafo675.11,0,0,0.0,0
grafo1438.49,12,7,13.0,10
grafo3808.97,83,79,90.0,70
grafo6930.39,32,32,41.0,29
grafo3972.43,19,22,22.0,18
grafo9872.32,24,17,19.0,18
grafo10004.32,4,4,5.0,3
grafo1462.65,29,22,25.0,23
grafo7464.81,52,54,54.0,43
grafo7400.57,16,18,15.0,12
grafo1248.26,0,0,0.0,0
grafo9888.33,4,8,2.0,3
grafo5159.59,44,42,53.0,36
grafo212.14,0,0,0.0,0
grafo5194.48,12,13,12.0,12
grafo4864.58,16,15,14.0,11
grafo5133.33,11,9,10.0,10
grafo11470.91,133,118,106.0,113
grafo7705.42,12,8,7.0,9
grafo11312.91,48,43,47.0,39
grafo1460.50,5,5,5.0,4
grafo1086.18,7,9,4.0,5
grafo9695.77,61,50,41.0,43
grafo6958.76,60,82,62.0,46
grafo8985.73,78,73,63.0,57
grafo6477.37,6,4,4.0,5
grafo7074.41,6,5,5.0,5
grafo6467.38,2,5,2.0,2
grafo7144.42,5,10,9.0,5
grafo9521.79,56,55,54.0,40
grafo116.28,12,5,7.0,5
grafo5068.63,55,54,54.0,45
grafo6095.35,7,5,8.0,5
grafo1983.29,6,6,4.0,6
grafo11186.93,114,79,93.0,86
grafo8861.94,16,12,14.0,14
grafo8502.89,32,24,36.0,26
grafo9370.66,29,29,29.0,21
grafo10484.99,178,176,169.0,147
grafo1885.13,0,0,0.0,0
grafo6358.42,26,19,21.0,19
grafo7635.41,14,10,16.0,10
grafo11243.37,6,11,7.0,5
grafo7265.44,21,11,13.0,18
grafo1391.27,1,1,0.0,0
grafo6599.36,10,12,11.0,9
grafo7257.37,8,8,10.0,7
grafo1739.16,1,1,1.0,1
grafo3586.36,1,2,1.0,1
grafo9791.78,121,100,123.0,98
grafo1396.61,10,14,10.0,9
grafo9253.76,56,58,61.0,44
grafo6429.41,40,42,47.0,36
grafo11206.91,129,99,132.0,97
grafo2287.13,1,0,0.0,1
grafo10487.95,63,68,61.0,47
grafo8113.70,42,46,52.0,34
grafo1550.53,14,12,16.0,11
grafo10146.97,134,114,125.0,101
grafo4400.56,79,71,77.0,62
grafo5519.43,25,23,22.0,21
grafo7530.44,18,27,18.0,14
grafo10208.98,90,93,84.0,69
grafo5033.66,45,33,34.0,32
grafo5827.34,3,3,3.0,3
grafo3401.41,23,19,22.0,21
grafo1237.30,2,2,2.0,1
grafo5109.83,75,65,71.0,63
grafo7120.84,77,57,53.0,65
grafo1461.69,37,34,27.0,28
grafo11425.38,12,5,10.0,8
grafo2257.14,0,0,0.0,0
grafo1428.56,15,17,22.0,14
grafo10637.94,174,204,152.0,136
grafo9768.75,58,60,57.0,49
grafo6068.72,31,19,31.0,23
grafo4373.60,39,41,36.0,30
grafo2262.31,3,2,4.0,3
grafo1871.17,0,1,0.0,0
grafo6952.39,0,1,4.0,0
grafo8308.83,41,31,36.0,35
grafo604.12,0,0,0.0,0
grafo6340.37,6,6,4.0,3
grafo4398.57,13,11,13.0,6
grafo9156.63,32,40,33.0,31
grafo3077.72,51,38,38.0,35
grafo8078.76,32,41,42.0,27
grafo1942.18,0,0,0.0,0
grafo4445.59,32,32,35.0,27
grafo8685.74,18,21,21.0,17
grafo10075.31,1,3,2.0,1
grafo6072.32,3,3,4.0,3
grafo1071.10,0,0,0.0,0
grafo8914.88,44,38,35.0,35
grafo5682.38,10,10,8.0,8
grafo1680.32,7,8,4.0,2
grafo5779.45,15,18,15.0,12
grafo5270.35,3,7,6.0,3
grafo8538.80,131,126,110.0,100
grafo8788.91,38,25,37.0,28
grafo11460.37,27,23,21.0,19
grafo11042.94,102,115,106.0,85
grafo8745.90,94,74,97.0,78
grafo8714.73,11,10,13.0,8
grafo10103.98,85,76,81.0,65
grafo6706.52,15,20,15.0,11
grafo2524.22,1,1,2.0,1
grafo245.21,0,0,0.0,0
grafo7628.47,32,24,35.0,28
grafo6684.56,20,24,26.0,17
grafo10311.91,39,39,36.0,34
grafo7278.42,18,15,16.0,14
grafo6864.55,18,25,22.0,15
grafo10384.99,42,36,47.0,33
grafo5512.35,2,2,2.0,2
grafo2725.38,6,6,6.0,5
grafo11354.92,126,160,146.0,95
grafo2260.14,0,0,0.0,0
grafo8723.73,31,36,31.0,26
grafo5951.34,9,9,8.0,7
grafo8052.70,20,26,23.0,12
grafo10656.98,67,47,62.0,52
grafo3206.42,12,12,12.0,10
grafo10996.97,78,69,70.0,66
grafo7005.42,20,30,20.0,15
grafo9858.34,4,5,3.0,2
grafo6427.44,28,22,22.0,23
grafo5497.77,36,35,39.0,28
grafo3349.47,0,1,2.0,0
grafo7159.54,14,9,11.0,12
grafo10639.91,80,82,84.0,63
grafo4536.83,33,33,35.0,29
grafo7703.84,40,32,44.0,32
grafo952.19,1,0,1.0,0
grafo4021.40,13,10,8.0,10
grafo2497.49,14,16,10.0,10
grafo5780.48,41,24,33.0,24
grafo2596.25,3,3,2.0,3
grafo6266.44,24,28,26.0,23
grafo6254.37,8,10,8.0,7
grafo9672.70,99,126,101.0,67
grafo4119.80,79,75,83.0,64
grafo7657.41,16,20,22.0,12
grafo8363.69,66,41,43.0,48
grafo3325.42,9,9,7.0,7
grafo8201.85,83,89,90.0,69
grafo422.17,1,0,0.0,0
grafo11506.91,72,58,69.0,52
grafo3859.39,16,18,14.0,10
grafo433.21,2,3,2.0,2
grafo415.17,2,2,2.0,2
grafo5952.38,14,8,8.0,9
grafo4750.53,13,10,14.0,8
grafo8826.100,174,234,164.0,137
grafo2423.21,1,2,2.0,1
grafo10698.95,142,129,132.0,112
grafo8920.94,33,25,35.0,26
grafo364.14,0,0,0.0,0
grafo7882.67,15,19,13.0,12
grafo7942.83,109,97,103.0,92
grafo4776.65,73,69,70.0,61
grafo11646.32,0,0,0.0,0
grafo4868.78,80,82,81.0,67
grafo8401.69,84,81,84.0,64
grafo5138.45,23,24,22.0,21
grafo2898.14,0,0,0.0,0
grafo5568.40,33,40,27.0,21
grafo1828.27,0,1,0.0,0
grafo9785.84,64,66,62.0,53
grafo2161.29,3,5,4.0,3
grafo6790.46,53,51,61.0,43
grafo4823.62,11,10,14.0,7
grafo5989.49,10,10,11.0,9
grafo11674.33,11,4,6.0,5
grafo842.21,3,2,2.0,3
grafo3891.39,14,16,12.0,14
grafo5919.40,23,15,23.0,18
grafo5388.36,9,7,10.0,9
grafo7652.40,15,13,15.0,13
grafo4816.57,28,28,25.0,24
grafo9206.66,29,23,25.0,26
grafo2355.16,0,0,1.0,0
grafo8267.76,43,45,33.0,34
grafo9457.79,78,86,79.0,63
grafo412.23,2,2,2.0,2
grafo8129.79,89,81,85.0,64
grafo8675.93,104,98,93.0,89
grafo10900.93,88,142,107.0,70
grafo11667.30,0,0,1.0,0
grafo11237.35,4,8,5.0,3
grafo7393.42,12,15,11.0,8
grafo5364.47,9,10,9.0,7
grafo3655.39,11,17,17.0,9
grafo6512.46,13,7,14.0,11
grafo2850.14,1,1,2.0,1
grafo579.35,0,0,0.0,0
grafo4131.78,57,56,61.0,40
grafo9097.65,50,61,60.0,37
grafo4441.61,9,11,10.0,7
grafo8429.81,79,69,73.0,67
grafo2357.23,0,0,0.0,0
grafo6517.35,9,11,10.0,8
grafo11643.33,0,0,1.0,0
grafo10382.94,182,175,181.0,133
grafo3799.44,36,50,39.0,27
grafo4539.64,22,22,29.0,20
grafo6758.46,32,24,30.0,28
grafo10571.93,77,75,85.0,63
grafo8090.86,84,87,82.0,72
grafo3674.59,66,65,56.0,50
grafo5375.71,37,34,36.0,25
grafo8683.79,54,40,58.0,49
grafo7589.47,37,43,33.0,27
grafo11196.100,27,28,30.0,22
grafo5422.44,27,26,22.0,20
grafo3438.36,6,6,14.0,6
grafo3112.13,0,0,0.0,0
grafo10409.96,116,119,114.0,100
grafo9252.84,84,94,90.0,67
grafo2009.23,4,4,7.0,3
grafo1603.28,3,2,4.0,1
grafo3475.53,21,29,29.0,16
grafo2241.16,0,0,0.0,0
grafo2252.15,3,3,3.0,3
grafo5970.36,9,10,10.0,8
grafo7921.71,52,58,50.0,43
grafo7213.73,65,48,48.0,47
grafo5783.36,9,8,7.0,6
grafo6514.39,40,29,28.0,26
grafo362.19,0,0,0.0,0
grafo5620.42,7,10,11.0,6
grafo1364.68,23,31,30.0,21
grafo8482.73,21,27,28.0,14
grafo6088.41,4,4,3.0,3
grafo6415.55,2,2,3.0,2
grafo1685.23,0,2,0.0,0
grafo603.26,0,0,0.0,0
grafo3892.35,13,7,10.0,9
grafo6535.49,18,17,23.0,15
grafo4573.57,54,51,44.0,39
grafo5479.41,8,6,7.0,7
grafo5975.45,7,7,10.0,8
grafo5490.53,22,17,15.0,14
grafo808.12,0,1,0.0,0
grafo7802.71,29,25,29.0,20
grafo9893.38,3,10,4.0,2
grafo10757.96,83,100,85.0,73
grafo9850.95,69,59,67.0,60
grafo2276.16,3,1,1.0,3
grafo5093.80,29,19,27.0,19
grafo10066.40,19,19,22.0,11
grafo11054.96,82,85,69.0,65
grafo8015.81,74,65,70.0,59
grafo4739.57,15,14,11.0,12
grafo2427.19,3,3,2.0,3
grafo5808.33,3,2,3.0,2
grafo6187.81,76,49,81.0,59
grafo10980.95,63,60,55.0,41
grafo7835.61,41,43,37.0,31
grafo9258.62,60,64,56.0,49
grafo8488.85,35,19,30.0,26
grafo8926.89,94,73,98.0,69
grafo283.24,5,2,2.0,4
grafo3720.35,12,13,13.0,9
grafo6912.37,4,5,4.0,3
grafo2079.19,0,1,0.0,0
grafo10760.96,182,201,199.0,143
grafo6120.43,9,4,6.0,9
grafo8207.88,57,51,56.0,44
grafo3683.41,36,36,28.0,26
grafo9799.70,103,109,85.0,69
grafo6933.47,18,19,21.0,10
grafo5073.78,31,39,39.0,27
grafo7787.71,8,10,10.0,4
grafo4430.72,64,58,64.0,51
grafo10530.100,74,86,71.0,61
grafo6233.36,6,6,10.0,5
grafo7260.45,17,15,13.0,14
grafo11150.99,107,99,113.0,73
grafo7684.38,14,20,15.0,14
grafo10491.97,117,111,103.0,80
grafo5650.78,75,59,53.0,63
grafo8154.91,20,18,23.0,16
grafo6556.60,59,56,51.0,45
grafo5440.44,13,13,13.0,10
grafo11230.100,62,60,61.0,44
grafo6212.46,23,23,41.0,20
grafo9407.78,61,76,63.0,46
grafo6455.39,18,17,13.0,16
grafo3309.59,33,34,31.0,22
grafo9126.82,48,35,44.0,36
grafo5803.45,0,0,1.0,0
grafo10482.94,62,65,52.0,51
grafo3155.39,6,7,7.0,4
grafo7289.57,19,17,20.0,15
grafo10150.95,84,71,82.0,71
grafo10193.38,5,6,5.0,5
grafo7950.62,44,40,38.0,36
grafo7165.40,23,14,19.0,18
grafo5303.34,3,3,2.0,2
grafo6337.39,3,4,3.0,1
grafo890.13,0,0,0.0,0
grafo8121.61,38,29,34.0,29
grafo2902.17,11,6,7.0,9
grafo6027.40,17,20,19.0,14
grafo6886.43,38,28,37.0,25
grafo7101.86,117,115,105.0,89
grafo10616.96,95,75,86.0,73
grafo3606.46,4,3,3.0,2
grafo4585.66,28,23,27.0,19
grafo11503.39,3,5,3.0,3
grafo11423.35,6,5,7.0,5
grafo5233.37,6,2,3.0,4
grafo5901.35,22,25,25.0,16
grafo10190.34,10,9,8.0,8
grafo3145.36,9,6,7.0,7
grafo3497.37,3,1,2.0,1
grafo8783.85,79,71,71.0,55
grafo1235.67,31,31,36.0,23
grafo10725.99,86,68,86.0,60
grafo9503.77,91,81,96.0,74
grafo5651.41,13,13,14.0,12
grafo7405.46,25,22,25.0,22
grafo215.20,0,0,0.0,0
grafo5551.37,7,9,8.0,7
grafo1750.12,4,3,1.0,4
grafo8760.71,81,86,75.0,65
grafo6214.39,15,14,15.0,9
grafo10828.97,88,77,88.0,69
grafo7341.60,21,24,31.0,17
grafo2926.14,0,0,0.0,0
grafo4478.64,21,22,21.0,16
grafo5895.41,6,5,11.0,4
grafo1294.63,20,19,25.0,19
grafo4246.62,58,37,31.0,43
grafo7873.72,42,42,37.0,33
grafo7700.43,15,17,13.0,15
grafo7062.53,27,29,31.0,20
grafo6541.39,17,18,16.0,13
grafo3140.55,19,12,11.0,13
grafo10407.93,46,60,49.0,36
grafo1296.46,11,12,15.0,10
grafo2742.39,10,14,12.0,9
grafo4150.64,58,51,64.0,46
grafo5844.39,13,13,14.0,12
grafo2375.19,25,18,16.0,17
grafo10259.100,139,159,148.0,114
grafo3542.40,9,14,12.0,9
grafo8684.86,93,92,88.0,71
grafo1594.25,0,0,0.0,0
grafo1855.20,3,1,5.0,2
grafo5474.48,44,35,40.0,35
grafo5554.44,22,26,23.0,16
grafo1443.67,28,33,40.0,25
grafo5527.34,13,10,9.0,11
grafo11079.39,9,7,8.0,4
grafo3233.43,4,4,5.0,4
grafo797.14,0,0,0.0,0
grafo5945.45,23,28,25.0,18
grafo6625.99,129,155,131.0,103
grafo9108.67,84,76,88.0,72
grafo2072.29,11,14,11.0,11
grafo2759.16,0,0,0.0,0
grafo1604.28,0,3,0.0,0
grafo6842.57,16,14,17.0,12
grafo270.20,8,1,3.0,7
grafo2523.40,10,11,14.0,10
grafo9987.91,63,62,63.0,41
grafo7280.52,23,22,22.0,20
grafo6208.40,11,10,11.0,11
grafo2965.22,1,1,1.0,1
grafo4937.56,53,45,64.0,44
grafo8979.80,40,55,39.0,34
grafo1458.48,19,19,19.0,15
grafo9006.61,24,32,23.0,15
grafo3386.57,62,70,60.0,54
grafo5147.67,25,36,30.0,20
grafo2088.38,18,20,18.0,14
grafo11040.95,109,87,114.0,74
grafo10533.100,73,68,75.0,65
grafo5510.34,10,9,13.0,8
grafo4232.54,7,7,9.0,6
grafo10663.99,117,112,109.0,99
grafo8001.82,62,58,62.0,43
grafo7269.40,7,11,9.0,7
grafo9292.63,48,47,50.0,43
grafo11568.95,74,59,63.0,58
grafo6866.44,13,15,13.0,10
grafo10959.97,117,123,112.0,94
grafo10699.98,70,78,57.0,48
grafo7457.56,43,53,42.0,38
grafo2680.17,2,1,1.0,1
grafo1108.18,2,4,2.0,2
grafo342.16,0,0,0.0,0
grafo3136.56,78,79,74.0,61
grafo8043.72,38,37,40.0,30
grafo4935.63,19,14,20.0,16
grafo7567.45,10,15,9.0,9
grafo1623.27,1,1,3.0,0
grafo4030.52,13,15,11.0,9
grafo9462.68,67,71,66.0,59
grafo5433.34,4,5,5.0,2
grafo6819.42,30,27,25.0,23
grafo3764.45,25,15,16.0,20
grafo3456.40,5,6,5.0,5
grafo3619.33,16,9,11.0,13
grafo7087.37,3,3,2.0,2
grafo10385.94,113,119,101.0,85
grafo10439.96,75,87,85.0,62
grafo6945.44,17,19,20.0,13
grafo5847.35,1,0,0.0,1
grafo9101.72,76,88,81.0,54
grafo1257.31,28,27,29.0,26
grafo692.22,7,2,2.0,5
grafo4509.64,33,31,28.0,26
grafo4987.64,10,7,13.0,8
grafo11275.93,111,129,111.0,84
grafo4097.39,16,23,15.0,13
grafo11327.39,11,10,10.0,10
grafo2414.15,3,6,3.0,2
grafo4805.70,19,21,29.0,16
grafo11154.95,99,102,120.0,79
grafo2065.70,33,39,36.0,28
grafo5717.41,8,8,7.0,5
grafo4313.61,49,51,47.0,45
grafo11437.36,9,15,9.0,7
grafo9125.71,14,11,19.0,11
grafo4206.58,40,34,35.0,29
grafo849.11,0,0,0.0,0
grafo6033.43,9,5,7.0,8
grafo6373.49,11,13,8.0,11
grafo3512.33,2,3,3.0,2
grafo9816.69,60,60,49.0,50
grafo3909.92,66,76,65.0,51
grafo8556.84,70,58,64.0,52
grafo10111.96,68,50,63.0,51
grafo2202.20,5,4,4.0,5
grafo10541.93,73,64,80.0,62
grafo6777.65,25,27,21.0,22
grafo2123.26,0,0,0.0,0
grafo10034.40,12,12,16.0,10
grafo11128.36,15,14,7.0,12
grafo2105.10,0,0,0.0,0
grafo1837.20,4,2,3.0,2
grafo1287.26,1,1,1.0,1
grafo11398.37,6,9,9.0,6
grafo11504.39,9,10,10.0,9
grafo9388.66,17,19,20.0,15
grafo3520.40,7,8,7.0,6
grafo4328.51,18,17,15.0,13
grafo9514.68,38,35,35.0,24
grafo11303.93,117,99,85.0,89
grafo10461.36,5,7,5.0,3
grafo4793.63,38,38,36.0,30
grafo2739.23,6,9,4.0,4
grafo9345.67,29,43,31.0,25
grafo2121.13,13,9,11.0,10
grafo6470.45,36,36,37.0,25
grafo8217.68,62,45,56.0,49
grafo10753.33,2,1,2.0,1
grafo3790.51,40,52,41.0,32
grafo8194.76,85,72,93.0,69
grafo3625.55,26,21,29.0,22
grafo9410.67,63,64,57.0,54
grafo6775.50,21,10,12.0,17
grafo10080.38,10,14,10.0,7
grafo6924.48,11,12,13.0,8
grafo6465.39,6,8,6.0,6
grafo10003.40,13,10,10.0,8
grafo3636.46,24,13,16.0,18
grafo6292.74,82,75,68.0,60
grafo10199.98,24,51,26.0,19
grafo4600.51,14,23,10.0,10
grafo3045.35,4,3,2.0,3
grafo3056.26,9,11,11.0,7
grafo3734.36,4,5,3.0,3
grafo5081.55,14,12,16.0,13
grafo6049.36,10,13,7.0,7
grafo8690.85,35,26,28.0,29
grafo10808.98,105,119,102.0,84
grafo7960.62,11,8,15.0,9
grafo11488.91,126,122,117.0,101
grafo812.14,1,0,0.0,0
grafo1674.12,5,1,2.0,4
grafo5190.36,2,3,2.0,2
grafo6489.48,19,21,20.0,17
grafo3626.49,14,16,20.0,12
grafo10578.96,117,96,116.0,99
grafo8080.76,43,46,50.0,34
grafo2431.86,27,24,28.0,16
grafo1226.32,0,0,0.0,0
grafo7922.82,78,81,75.0,68
grafo10485.94,70,48,69.0,56
grafo258.13,0,0,0.0,0
grafo2455.40,24,16,15.0,20
grafo2169.15,8,7,7.0,6
grafo9163.72,107,99,113.0,85
grafo5325.44,28,30,34.0,22
grafo6943.82,82,77,91.0,68
grafo5995.42,34,31,25.0,26
grafo6330.39,9,21,10.0,8
grafo10957.92,72,47,75.0,53
grafo10998.100,138,121,130.0,110
grafo10818.97,50,54,47.0,38
grafo6482.87,47,55,52.0,37
grafo10635.95,131,139,126.0,102
grafo8439.71,41,37,41.0,35
grafo9687.79,105,95,96.0,89
grafo8385.73,44,49,46.0,36
grafo4371.71,50,47,49.0,36
grafo304.15,0,0,0.0,0
grafo8126.71,47,46,46.0,38
grafo3929.62,16,13,12.0,10
grafo6540.56,38,30,32.0,25
grafo7600.40,15,14,17.0,14
grafo7683.38,30,29,29.0,27
grafo5825.35,2,2,2.0,2
grafo9953.33,2,1,2.0,1
grafo7370.49,15,18,14.0,11
grafo8857.99,136,129,142.0,111
grafo11101.95,175,123,159.0,120
grafo6302.38,2,6,5.0,2
grafo4685.56,10,25,10.0,7
grafo8534.84,103,109,109.0,83
grafo9894.91,108,123,106.0,89
grafo5804.37,6,5,5.0,5
grafo5508.33,2,2,2.0,2
grafo11112.96,104,123,126.0,84
grafo7150.41,10,11,11.0,9
grafo5747.40,10,9,10.0,8
grafo629.14,0,0,0.0,0
grafo7957.62,49,62,68.0,35
grafo4057.43,2,5,4.0,2
grafo9458.71,35,42,41.0,25
grafo10592.98,114,118,107.0,83
grafo4421.60,16,17,15.0,12
grafo4333.81,22,21,22.0,17
grafo216.18,1,1,1.0,1
grafo986.12,0,0,0.0,0
grafo9709.86,109,75,83.0,88
grafo9678.79,53,51,53.0,41
grafo1541.33,10,8,10.0,8
grafo751.11,1,0,0.0,1
grafo9536.66,48,59,48.0,38
grafo8945.94,155,136,123.0,125
grafo1911.21,5,4,3.0,4
grafo9786.77,65,52,56.0,52
grafo9029.66,6,6,12.0,4
grafo11173.41,6,10,7.0,5
grafo470.17,2,0,0.0,1
grafo10630.94,128,125,125.0,95
grafo9956.32,6,6,6.0,4
grafo8768.86,93,59,78.0,72
grafo10480.95,70,62,63.0,59
grafo9175.70,50,39,41.0,41
grafo4846.62,13,12,12.0,12
grafo4860.54,39,40,39.0,29
grafo1137.10,0,0,0.0,0
grafo3219.37,15,17,15.0,14
grafo10502.91,147,142,136.0,103
grafo4503.59,32,50,34.0,28
grafo11095.93,91,80,100.0,68
grafo445.22,2,1,3.0,2
grafo5320.45,6,4,7.0,6
grafo9501.66,113,96,113.0,88
grafo2553.18,0,0,0.0,0
grafo9263.76,95,97,86.0,75
grafo9151.63,28,28,34.0,24
grafo6738.47,42,55,39.0,30
grafo1292.28,4,5,5.0,2
grafo5788.64,11,19,13.0,10
grafo3877.33,37,32,38.0,28
grafo9142.60,12,15,14.0,12
grafo4073.40,3,3,2.0,2
grafo8855.100,86,69,93.0,65
grafo1282.27,2,1,2.0,1
grafo4724.75,63,67,75.0,55
grafo9512.65,65,67,64.0,51
grafo2069.32,0,0,0.0,0
grafo395.35,3,3,3.0,3
grafo1663.39,10,10,13.0,9
grafo4737.66,30,34,31.0,24
grafo4559.65,57,53,58.0,43
grafo10607.94,67,63,73.0,56
grafo9100.80,59,70,53.0,50
grafo10176.97,173,166,151.0,150
grafo3166.57,24,27,26.0,17
grafo6747.51,19,20,18.0,16
grafo7044.41,22,20,20.0,19
grafo6258.41,20,21,18.0,16
grafo9550.85,134,125,132.0,87
grafo4614.76,65,75,77.0,56
grafo1743.25,4,4,5.0,2
grafo2048.52,10,6,7.0,9
grafo10166.98,105,82,95.0,85
grafo3008.32,27,30,34.0,21
grafo2359.12,1,1,1.0,1
grafo10479.98,99,86,91.0,79
grafo8782.88,30,26,33.0,22
grafo11315.91,92,67,113.0,67
grafo5095.62,50,46,49.0,34
grafo9353.75,109,113,122.0,93
grafo3270.41,3,3,3.0,3
grafo2804.19,2,2,2.0,2
grafo3299.53,25,25,27.0,20
grafo5927.37,17,18,17.0,14
grafo2102.34,5,3,3.0,3
grafo688.10,0,0,0.0,0
grafo8212.69,47,45,48.0,37
grafo10909.96,74,51,73.0,54
grafo6012.51,66,70,67.0,56
grafo8305.65,38,33,43.0,28
grafo11559.31,3,2,2.0,2
grafo10204.100,178,186,167.0,137
grafo8758.100,66,70,80.0,50
grafo6451.47,28,29,26.0,19
grafo4480.64,64,59,66.0,45
grafo10745.31,5,4,5.0,4
grafo1408.49,8,6,6.0,6
grafo2022.28,2,1,1.0,2
grafo6900.39,14,12,12.0,12
grafo9244.79,19,19,19.0,17
grafo6801.55,35,37,34.0,30
grafo4273.73,13,13,16.0,12
grafo3612.37,33,28,29.0,24
grafo7060.42,36,34,37.0,27
grafo2714.11,0,0,0.0,0
grafo399.15,1,1,1.0,1
grafo8929.91,84,81,102.0,72
grafo9948.91,90,86,88.0,68
grafo5212.63,20,21,15.0,13
grafo3992.44,25,29,27.0,24
grafo4952.62,17,17,21.0,15
grafo8039.65,52,49,53.0,35
grafo2707.12,1,0,0.0,1
grafo8717.90,44,36,50.0,37
grafo8289.74,43,40,35.0,36
grafo8075.80,70,72,69.0,55
grafo9086.67,68,57,71.0,48
grafo5460.80,91,95,87.0,73
grafo2050.27,2,2,2.0,2
grafo2732.37,13,10,9.0,12
grafo3306.41,12,12,8.0,9
grafo4443.60,35,29,40.0,24
grafo1513.65,23,20,33.0,16
grafo11322.38,4,9,6.0,4
grafo7515.81,18,20,20.0,16
grafo4191.61,35,30,19.0,31
grafo10211.92,41,38,38.0,33
grafo2687.33,15,17,15.0,13
