graph_id,n_nodes,n_edges,neato_xing,diff_gd_xing,rl_xing
9495,67,96,61,37,36
9496,64,89,62,31,27
9497,85,114,71,42,35
9498,71,95,45,33,31
9499,66,88,35,26,24
9500,83,117,79,38,27
9501,66,105,113,66,60
9502,75,111,104,64,44
9503,77,109,91,58,49
9504,64,88,50,26,19
9505,75,97,37,26,25
9506,70,91,50,27,25
9507,66,96,61,46,42
9508,69,86,24,14,11
9509,64,91,34,25,21
9510,65,89,50,32,28
9511,84,119,89,46,37
9512,65,93,65,43,39
9513,74,100,37,27,26
9514,68,89,38,24,22
9515,67,89,39,29,27
9516,64,92,78,45,39
9517,63,76,15,8,7
9518,68,90,41,31,26
9519,65,85,19,14,10
9520,79,109,83,54,49
9521,79,104,56,34,32
9522,79,105,51,42,38
9523,64,85,35,22,18
9524,84,116,78,47,40
9525,78,102,48,21,20
9526,72,98,41,32,30
9527,88,118,67,49,47
9528,63,92,60,41,35
9529,87,105,33,20,16
9530,68,103,86,43,39
9531,84,111,57,37,29
9532,80,94,28,19,16
9533,82,112,72,45,37
9534,71,98,44,32,28
9535,61,78,35,17,17
9536,66,93,48,32,26
9537,69,89,46,30,28
9538,81,120,129,71,67
9539,71,114,120,72,63
9540,68,95,67,38,38
9541,80,105,52,37,33
9542,87,136,195,134,123
9543,65,92,69,39,34
9544,62,91,70,37,36
9545,75,92,29,18,18
9546,66,92,58,33,32
9547,63,89,50,25,23
9548,65,79,11,7,7
9549,78,97,34,26,23
9550,85,125,134,70,63
9551,78,92,11,9,8
9552,72,98,57,31,25
9553,79,123,170,98,91
9554,74,91,22,16,14
9555,70,92,27,19,19
9556,62,87,61,35,24
9557,79,116,110,77,63
9558,65,93,46,29,25
9559,64,84,24,16,15
9560,80,100,34,24,22
9561,83,105,34,15,13
9562,66,91,62,30,27
9563,63,85,37,27,25
9564,74,99,38,24,20
9565,86,111,62,32,27
9566,70,100,72,44,42
9567,67,96,62,42,35
9568,65,92,55,33,30
9569,70,91,31,16,15
9570,64,82,21,9,7
9571,67,77,12,5,4
9572,71,96,69,39,38
9573,65,73,6,2,2
9574,74,107,73,41,36
9575,65,82,23,13,11
9576,92,123,82,60,44
9577,97,124,69,31,30
9578,66,82,25,18,17
9579,63,92,67,40,36
9580,97,120,38,30,27
9581,91,129,85,55,50
9582,80,101,28,15,15
9583,62,77,21,13,13
9584,86,122,89,60,56
9585,86,122,89,60,55
9586,78,100,58,39,27
9587,62,93,91,51,45
9588,62,100,81,54,45
9589,62,100,81,56,47
9590,74,99,65,38,35
9591,73,107,79,42,39
9592,72,86,16,9,7
9594,64,86,37,25,25
9595,86,120,85,55,49
9596,88,123,92,60,60
9597,96,120,50,28,23
9598,62,80,20,14,11
9599,81,106,49,39,32
9600,65,82,15,9,9
9601,64,99,84,39,31
9602,82,107,52,33,26
